ID,protocol,success,keygen_time,derive_time,kdf_time,total_time,key_size,error
68,ECDH,True,0.0007310998626053333,0.000250800047069788,6.569991819560528e-05,0.0015406000893563032,32,
69,ECDH,True,0.00027549988590180874,0.0003284001722931862,8.839997462928295e-05,0.0010753001552075148,32,
70,ECDH,True,0.000467000063508749,0.0003432000521570444,0.00011610006913542747,0.0014308998361229897,32,
71,ECDH,True,0.00041099986992776394,0.0003413998056203127,0.00010979990474879742,0.0013152000028640032,32,
72,ECDH,True,0.00045279995538294315,0.00039820000529289246,0.00011589983478188515,0.0015848998446017504,32,
73,ECDH,True,0.0004732999950647354,0.00023060012608766556,6.620003841817379e-05,0.0012556998990476131,32,
74,ECDH,True,0.00025589996948838234,0.0002275998704135418,5.959998816251755e-05,0.0008516998495906591,32,
75,ECDH,True,0.00025189993903040886,0.0002321999054402113,6.0900114476680756e-05,0.0008913001511245966,32,
76,ECDH,True,0.0002997999545186758,0.00022489996626973152,5.91999851167202e-05,0.001142099965363741,32,
77,ECDH,True,0.0003185998648405075,0.00022089993581175804,5.7999975979328156e-05,0.0009703000541776419,32,
78,ECDH,True,0.0002498999238014221,0.00022489996626973152,5.679996684193611e-05,0.0008493000641465187,32,
79,ECDH,True,0.0002528000622987747,0.00022200006060302258,6.680004298686981e-05,0.0008366000838577747,32,
80,ECDH,True,0.00025509996339678764,0.00027609989047050476,5.770009011030197e-05,0.0009521001484245062,32,
81,ECDH,True,0.0002568000927567482,0.0003065001219511032,5.879998207092285e-05,0.0009573998395353556,32,
82,ECDH,True,0.0003011999651789665,0.000544500071555376,7.030018605291843e-05,0.001420800108462572,32,
83,ECDH,True,0.00027430010959506035,0.00022289995104074478,5.630007945001125e-05,0.0009316999930888414,32,
84,ECDH,True,0.0002679999452084303,0.00022399984300136566,5.679996684193611e-05,0.0008785000536590815,32,
85,ECDH,True,0.00025809998624026775,0.00028499984182417393,8.010002784430981e-05,0.0009432998485863209,32,
86,ECDH,True,0.0006102998740971088,0.00022869999520480633,7.730000652372837e-05,0.0013672998175024986,32,
87,ECDH,True,0.00025669997557997704,0.00024259998463094234,5.869986489415169e-05,0.0008984000887721777,32,
88,ECDH,True,0.00024640001356601715,0.0003374998923391104,0.0001058999914675951,0.0010283999145030975,32,
89,ECDH,True,0.0002625000197440386,0.00022329995408654213,5.810009315609932e-05,0.0008759000338613987,32,
90,ECDH,True,0.0002574000973254442,0.00022389995865523815,5.719996988773346e-05,0.0008634999394416809,32,
91,ECDH,True,0.00028909998945891857,0.0002188999205827713,9.280000813305378e-05,0.0009953000117093325,32,
